INDEX,NDVImax250,JJA_tavg25,JJA_ppt_av,JJA_mean_w,distance_w,dist_pastu,dem250,remoteness,soil250,veg250,slope250,Latitude,Longitude,PresBack
6554,7643.330078,8.0338402,51.9370003,4.3000002,1030.780029,1952.560059,91.964798,0.0,3.0,2.0,23.0412998,66.00649656040873,-22.414204042863787,1
6554,7643.330078,8.0338402,51.9370003,4.3000002,1030.780029,1952.560059,91.964798,0.0,3.0,2.0,23.0412998,66.00631056722483,-22.420201798395397,1
6262,7940.490234,7.9889698,51.0657005,4.3000002,1250.0,559.0170288,44.4584007,0.0,3.0,5.0,12.1843004,66.00694614930741,-22.423551366841412,1
6263,6935.890137,7.94735,52.8633003,4.3000002,250.0,1520.689941,215.4609985,0.0,3.0,10.0,11.2580004,66.00802224854068,-22.421179621280732,1
6207,7424.27002,9.4452696,62.9285011,3.76069,4301.160156,790.5689697,25.9155006,0.0,9.0,4.0,2.9806099,66.00717836265115,-14.870210687380505,1
7526,6588.640137,9.1218204,42.6559982,4.4241199,353.553009,750.0,51.0,0.0,3.0,4.0,1.16113,66.00725342945543,-20.38627710715794,1
6207,7424.27002,9.4452696,62.9285011,3.76069,4301.160156,790.5689697,25.9155006,0.0,9.0,4.0,2.9806099,66.00844543879191,-14.874599048358023,1
6262,7940.490234,7.9889698,51.0657005,4.3000002,1250.0,559.0170288,44.4584007,0.0,3.0,5.0,12.1843004,66.01367106440921,-22.426874464749265,1
7543,6448.549805,9.2448702,41.735199,4.5999999,250.0,1250.0,100.0410004,0.0,3.0,4.0,15.0033998,66.00974743203244,-19.99139134756909,1
7526,6588.640137,9.1218204,42.6559982,4.4241199,353.553009,750.0,51.0,0.0,3.0,4.0,1.16113,66.01031541908098,-20.38891022139922,1
7526,6588.640137,9.1218204,42.6559982,4.4241199,353.553009,750.0,51.0,0.0,3.0,4.0,1.16113,66.01052260368795,-20.388811221861058,1
6262,7940.490234,7.9889698,51.0657005,4.3000002,1250.0,559.0170288,44.4584007,0.0,3.0,5.0,12.1843004,66.01089431317752,-22.44965004804595,1
7211,6475.669922,9.0897903,42.6666985,4.3894601,250.0,1030.780029,72.141098,0.0,3.0,4.0,5.2210398,66.0129992629836,-20.389694262980594,1
6262,7940.490234,7.9889698,51.0657005,4.3000002,1250.0,559.0170288,44.4584007,0.0,3.0,5.0,12.1843004,66.0155357665784,-22.440011103408285,1
5970,5941.740234,8.1069698,50.2456017,4.2796202,1250.0,901.3880005,104.9710007,0.0,3.0,10.0,5.5933599,66.02194862068492,-22.43592509119233,1
5410,7372.509766,8.1241302,51.4174004,4.2035499,353.553009,1903.939941,53.4457016,0.0,3.0,5.0,13.3287001,66.03743190864623,-22.424501549656338,1
